Strategy,Accuracy,Precision,Recall,F1,AUC
SMOTEENN,0.4904,0.4807,0.4842,0.4809,0.4844
UnderSampling,0.4909,0.4822,0.4796,0.4807,0.4896
SMOTE,0.4939,0.4848,0.4746,0.4796,0.489
No Resampling,0.4909,0.4811,0.457,0.4687,0.4869
