Model,Accuracy,Precision,Recall,F1,AUC
Extra Trees,0.5110706007560208,0.5197654703344868,0.504344487861249,0.5118609212940269,0.5081425819893916
Random Forest,0.5089575196523884,0.5178514063399019,0.5005915131572505,0.5090321337640542,0.5107891158230242
Logistic Regression,0.5111713562704865,0.5210206916111931,0.4960482220328858,0.5035560064652422,0.5219713415613472
Gradient Boosting,0.5030193237937945,0.5125849371841655,0.4663650341295257,0.48525873038791556,0.5145876940030958
Neural Network,0.5079515846969082,0.5206540971622652,0.4477889747431716,0.4681649305491975,0.5167562379792034
