Coin,Model,RMSE,R2
ADA-USD,Stacking,109.7608,0.9813
BTC-USD,Stacking,109.7608,0.9813
ETH-USD,Stacking,109.7608,0.9813
SOL-USD,Stacking,109.7608,0.9813
