Model,MAE,RMSE,MAPE,R2,Directional_Accuracy
Linear Regression,115.30053944591104,147.68031798365777,0.8355454488588525,0.9984146910649524,88.68862731585872
SARIMA,5180.3389721893045,6072.543076645552,44.932752825032345,-1.043791418654803,50.08356040316551
Random Forest,6536.987063007721,7846.2067569908495,7.978187002117561,0.2718961054117862,63.53815667019672
ARIMA,6721.128141894841,7957.040145203987,38.343317702963155,-0.7909379383376941,6.67775358865307
XGBoost,7039.691243778798,8317.428817115228,8.549033127317431,0.18212795173901355,64.31515376845888
SVR,21152.821734271947,21725.645628302576,40.52899968186944,-5.770352795115758,52.73750694609828
