Asset,Model,MAE,RMSE,R²,Dir.Acc(%)
ADA-USD,GRU,0.035368,0.051104,-0.0042,51.19
ADA-USD,LSTM,0.035412,0.051133,-0.0053,49.71
BTC-USD,LSTM,0.023072,0.034825,-0.0071,51.1
BTC-USD,GRU,0.023144,0.034926,-0.0129,49.71
ETH-USD,LSTM,0.029554,0.043873,-0.0057,49.95
ETH-USD,GRU,0.0297,0.04402,-0.0124,48.05
SOL-USD,LSTM,0.04263,0.060564,-0.0018,49.57
SOL-USD,GRU,0.043388,0.061218,-0.0235,49.43
